Point,BOD,COD,T-N,DTN,NO3-N,NH3-N,T-P,DTP,PO4-P,Chl-a
as_황강3,1.4,3.5,1.708,1.62,1.473,0.039,0.037,0.018,0.009,3.2
as_황강3,0.7,2.6,1.546,1.49,1.336,0.012,0.019,0.008,0.003,2.7
as_황강3,0.6,3.1,1.683,1.518,1.363,0.007,0.025,0.011,0.004,3.5
as_황강3,0.6,3.1,1.626,1.455,1.364,0.002,0.024,0.018,0.007,2.7
at_합천,2.8,6.3,3.354,2.892,2.167,0.123,0.175,0.094,0.079,50.8
at_합천,2.8,5.7,3.319,2.857,2.042,0.084,0.161,0.095,0.072,52.1
at_합천,2.2,5.8,3.292,2.954,2.199,0.07,0.176,0.107,0.088,50.9
at_합천,2.4,5.8,3.238,2.947,2.272,0.056,0.196,0.141,0.097,55.1
at_합천,2.6,6,3.678,3.324,2.488,0.078,0.235,0.182,0.136,40.3
at_합천,1.5,5.6,3.357,3.139,2.511,0.137,0.157,0.082,0.063,30.6
at_합천,1.9,6.4,3.258,3.103,2.78,0.097,0.171,0.07,0.055,34.6
at_합천,2.1,6,3.205,2.979,2.49,0.06,0.111,0.056,0.034,27.1
at_합천,2.3,5.3,3.039,2.89,2.626,0.075,0.06,0.029,0.016,28
at_합천,2,5.1,3.27,3.111,2.291,0.066,0.052,0.028,0.016,21
at_합천,1.7,5.7,2.999,2.857,2.066,0.081,0.041,0.025,0.015,18.5
at_합천,2.1,7,3.229,3.033,2.288,0.104,0.044,0.026,0.016,21
